简历ID,配对数,Top10重合度,Spearman相关,模型NDCG@10,规则NDCG@10,模型MAE
R161,150,1.0,0.99,0.8486,0.8201,1.27
R162,487,0.818,0.997,1.0,1.0,0.72
R163,487,0.25,0.995,1.0,1.0,0.927
R164,150,0.667,0.997,1.0,1.0,1.027
R165,150,0.818,0.995,0.0,0.0,0.638
R166,150,0.818,0.993,1.0,1.0,1.146
R167,249,0.818,0.989,1.0,1.0,0.723
R168,367,0.538,0.985,0.9306,0.9306,0.69
R169,150,0.818,0.991,0.9292,0.9292,0.717
R170,150,1.0,0.982,1.0,1.0,0.8
R171,249,0.667,0.994,1.0,1.0,0.702
R172,2223,1.0,0.992,1.0,1.0,0.627
R173,487,0.818,0.985,0.6714,0.7654,0.764
R174,150,0.818,0.995,0.0,0.0,0.674
R175,1132,1.0,0.977,1.0,1.0,0.715
R176,744,0.818,0.988,1.0,1.0,1.21
R177,150,1.0,0.996,1.0,1.0,1.071
R178,150,0.818,0.989,0.0,0.0,0.541
R179,385,0.25,0.975,0.3904,0.5205,0.753
R180,367,1.0,0.991,1.0,1.0,0.781
R181,150,0.818,0.995,0.0,0.0,0.652
R182,150,0.818,0.99,1.0,1.0,0.726
R183,288,0.667,0.996,0.0,0.0,0.726
R184,150,0.667,0.996,1.0,1.0,0.674
R185,150,0.538,0.994,0.9202,1.0,0.714
R186,150,0.818,0.995,0.0,0.0,0.866
R187,150,0.818,0.997,1.0,1.0,0.825
R188,150,0.538,0.992,0.3333,0.0,0.894
R189,150,0.818,0.989,0.0,0.0,0.675
R190,487,0.25,0.995,1.0,1.0,0.738
R191,744,1.0,0.991,1.0,1.0,1.055
R192,2223,0.667,0.996,1.0,1.0,0.896
R193,150,1.0,0.996,0.0,0.0,1.162
R194,2223,0.818,0.966,1.0,0.9364,0.664
R195,744,0.818,0.987,1.0,1.0,0.831
R196,1323,0.818,0.997,1.0,1.0,0.704
R197,150,0.818,0.997,0.9292,0.9292,0.839
R198,150,1.0,0.994,1.0,1.0,1.159
R199,288,0.667,0.996,0.0,0.0,0.615
R200,150,0.667,0.996,0.7654,0.9066,0.914
R201,150,0.818,0.993,1.0,1.0,0.754
R202,237,1.0,0.996,0.0,0.0,0.819
R203,150,0.667,0.971,0.9931,0.9931,0.856
R204,487,0.176,0.992,1.0,1.0,0.762
R205,150,0.818,0.996,1.0,1.0,0.788
R206,150,0.667,0.99,1.0,1.0,0.442
R207,150,0.538,0.991,1.0,1.0,0.983
R208,150,1.0,0.988,0.9364,0.9364,0.806
R209,150,0.818,0.993,1.0,1.0,0.53
R210,150,0.818,0.991,0.0,0.0,0.844
R211,2223,0.818,0.992,1.0,1.0,0.757
R212,487,0.538,0.989,1.0,1.0,0.573
R213,385,0.818,0.997,1.0,1.0,0.711
R214,150,1.0,0.979,1.0,1.0,0.907
R215,1319,1.0,0.992,1.0,1.0,0.713
R216,237,0.176,0.993,0.0,0.0,0.94
R217,1319,0.818,0.947,0.9364,1.0,0.641
R218,367,1.0,0.996,1.0,1.0,0.586
R219,150,0.818,0.991,0.8551,0.8551,1.224
R220,2223,0.667,0.993,1.0,1.0,0.623
R221,150,1.0,0.994,0.0,0.0,0.835
R222,744,0.818,0.997,1.0,1.0,0.817
R223,150,0.818,0.991,0.9337,0.9364,0.837
R224,150,0.667,0.994,1.0,0.8772,0.724
R225,150,1.0,0.996,0.0,0.0,0.664
R226,1132,0.818,0.998,1.0,1.0,0.667
R227,208,1.0,0.995,1.0,1.0,0.702
R228,150,0.818,0.996,0.0,0.0,0.619
R229,150,1.0,0.99,0.0,0.0,0.586
R230,744,0.818,0.995,1.0,1.0,0.665
R231,150,1.0,0.996,1.0,1.0,0.812
R232,150,0.538,0.992,0.8551,0.9292,0.892
R233,150,0.818,0.996,0.6053,0.6053,0.864
R234,150,0.818,0.995,1.0,1.0,0.962
R235,150,0.667,0.952,0.0,0.0,0.567
R236,288,0.667,0.997,0.5087,0.5087,0.859
R237,150,0.667,0.996,0.6131,0.8066,0.671
R238,237,0.667,0.996,1.0,1.0,0.73
R239,1132,0.818,0.998,1.0,1.0,0.765
R240,1132,0.667,0.993,1.0,1.0,0.824
R241,150,0.538,0.977,0.0,0.0,0.977
R242,150,1.0,0.976,0.0,0.0,0.986
R243,744,1.0,0.997,0.8551,0.8551,0.686
R244,150,0.818,0.996,0.9364,0.9364,0.679
R245,150,0.429,0.937,1.0,0.5,0.494
R246,150,0.818,0.934,0.0,0.0,0.786
R247,150,1.0,0.995,1.0,1.0,1.046
R248,150,1.0,0.986,0.0,0.0,0.946
R249,150,0.818,0.996,0.0,0.0,0.517
R250,208,0.818,0.997,1.0,1.0,0.707
R251,744,0.667,0.995,0.8688,0.8688,0.603
R252,249,0.667,0.997,0.9364,0.9337,1.161
R253,150,0.667,0.998,1.0,1.0,1.061
R254,150,0.667,0.995,0.9364,0.9364,0.812
R255,150,0.667,0.997,1.0,1.0,0.648
R256,1132,1.0,0.996,1.0,1.0,0.705
R257,150,0.818,0.997,0.9084,0.9084,0.732
R258,1132,0.538,0.998,1.0,1.0,0.635
R259,150,1.0,0.995,1.0,1.0,0.711
R260,150,0.818,0.995,1.0,1.0,0.545
R261,150,1.0,0.993,0.0,0.0,0.719
R262,150,0.818,0.992,0.0,0.0,0.689
R263,744,1.0,0.998,1.0,1.0,0.753
R264,150,0.538,0.99,0.7041,0.7041,0.829
R265,1323,1.0,0.989,1.0,1.0,0.738
R266,150,0.818,0.994,0.9364,1.0,1.046
R267,150,0.667,0.991,0.7654,0.7654,1.459
R268,150,0.818,0.989,1.0,1.0,0.807
R269,150,0.818,0.995,0.0,0.0,0.609
R270,150,0.818,0.996,0.8922,0.8922,0.724
R271,487,0.25,0.996,1.0,1.0,0.751
R272,150,0.818,0.993,0.0,0.0,0.737
R273,150,0.667,0.988,0.0,0.0,0.838
R274,288,0.538,0.996,0.0,0.0,0.892
R275,150,0.818,0.997,1.0,1.0,0.777
R276,150,0.667,0.989,1.0,1.0,0.697
R277,150,0.818,0.977,1.0,1.0,0.58
R278,150,1.0,0.988,0.0,0.0,0.782
R279,744,1.0,0.977,1.0,1.0,0.97
R280,150,0.538,0.996,0.3155,0.0,0.919
R281,249,1.0,0.997,0.858,0.863,0.947
R282,150,1.0,0.997,1.0,1.0,0.71
R283,150,0.818,0.988,0.0,0.0,0.61
R284,150,0.667,0.992,0.6548,0.7227,0.648
R285,1132,0.429,0.996,1.0,1.0,0.687
R286,150,0.667,0.993,0.906,1.0,1.03
R287,150,1.0,0.993,1.0,1.0,1.074
R288,237,0.818,0.996,0.0,0.0,0.667
R289,150,0.818,0.995,1.0,1.0,0.805
R290,150,0.538,0.994,0.0,0.0,0.459
R291,150,1.0,0.998,1.0,1.0,0.967
R292,1023,1.0,0.99,1.0,1.0,0.674
R293,1319,0.538,0.997,1.0,1.0,0.702
R294,150,1.0,0.995,0.0,0.0,0.63
R295,150,0.818,0.998,1.0,1.0,0.654
R296,150,0.818,0.997,1.0,1.0,0.785
R297,150,0.818,0.997,0.7799,0.7799,0.816
R298,150,1.0,0.995,0.9292,0.9292,0.953
R299,237,1.0,0.997,1.0,1.0,0.864
R300,249,1.0,0.997,1.0,1.0,0.603
R301,150,0.818,0.989,0.8512,0.8512,0.801
R302,2223,0.818,0.997,1.0,1.0,0.884
R303,150,0.818,0.988,0.0,0.0,0.491
R304,367,0.818,0.995,1.0,1.0,0.564
R305,367,0.818,0.997,0.9216,0.9266,0.861
R306,150,0.818,0.995,0.9364,1.0,0.874
R307,150,0.818,0.994,0.9608,0.9877,1.17
R308,150,0.667,0.998,1.0,1.0,0.826
R309,150,1.0,0.997,0.301,0.3155,0.641
R310,150,0.667,0.997,0.6131,0.6131,0.842
R311,1132,0.818,0.994,1.0,1.0,0.592
R312,1319,1.0,0.997,1.0,1.0,0.655
R313,150,1.0,0.994,1.0,1.0,0.919
R314,150,1.0,0.996,1.0,1.0,0.981
R315,150,1.0,0.996,1.0,1.0,0.715
R316,367,0.818,0.996,1.0,0.9216,0.744
R317,150,0.667,0.994,1.0,1.0,0.973
R318,150,0.667,0.994,0.0,0.0,0.868
R319,150,0.667,0.995,0.0,0.0,0.801
R320,150,0.818,0.996,1.0,1.0,0.776
R321,288,0.176,0.994,0.7511,0.839,0.917
