口径,任务,实验,模型,特征,重要性
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位技能要求数,0.00292
按岗位,T1回归,②全特征+噪声标签,XGBoost,技能命中数,0.02445
按岗位,T1回归,②全特征+噪声标签,XGBoost,技能精确命中数,0.0007
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位技能标签数,0.0003
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位名称与期望岗位相似度,0.00015
按岗位,T1回归,②全特征+噪声标签,XGBoost,描述与简历文本相似度,0.00015
按岗位,T1回归,②全特征+噪声标签,XGBoost,描述与技能特长相似度,0.01085
按岗位,T1回归,②全特征+噪声标签,XGBoost,专业命中岗位描述,0.01721
按岗位,T1回归,②全特征+噪声标签,XGBoost,简历工作年限,0.12235
按岗位,T1回归,②全特征+噪声标签,XGBoost,是否应届,0.21342
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位经验下限,0.05312
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位经验上限,0.04735
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位经验不限,0.00043
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位经验缺失,0.06327
按岗位,T1回归,②全特征+噪声标签,XGBoost,简历学历序数,0.02735
按岗位,T1回归,②全特征+噪声标签,XGBoost,岗位学历要求序数,0.01814
按岗位,T1回归,②全特征+噪声标签,XGBoost,距离km,0.10024
按岗位,T1回归,②全特征+噪声标签,XGBoost,是否同城,0.21736
